الوزن,الأداة,نوع الجمع,Unicode,UTF-8,عدد الفونيمات,نوع الحركة الأولى,ملاحظات
فَعْل,فُعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
فَعَل,فُعْلَان,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,صحيح العين
فَعِيل,فُعَلَاء,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
مُفْعِل,فُعَلَاء,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
مُفَاعِل,فُعَلَاء,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وزن من أوزان جمع التكسير
فَاعِل,فُعَلَاء,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,ُ,وصف لمذكر عاقل دال على سجية أو يشابهها في الدوام
فَعِيل,أَفْعِلَاء,جموع الكثرة القياسية ,U+0623,b'\xd8\xa3',10,َ,كل وصف على وزن (فَعِيل) مضعف أو معتل اللام
فَاعِل,فَوَاعِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَاعِلة,فَوَاعِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,اسم أو صفة 
فَوْعَل,فَوَاعِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَوْعَلَة,فَوَاعِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعِيلَة,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,كل رباعي مؤنث لفظيا أو معنويا اسم أو صفة حرفه الثالث مد 
فَعَالَةٍ,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,بفتح الفاء أو كسرها أو ضمها 
فَعُولَة,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فِعَال,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعُول,فَعَائِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعْلَاة,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعَلَل,فَعَالِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فِعْلَاة,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعْلُوة,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
فَعْلَاء,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,اسمًا
فَعْلَاء,فَعَالِي,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وصفًا لمؤنث لا مذكر له 
فُعْلِيّ,فَعَالَى,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,"كل اسم ثلاثي ساكن العين ، و بعد الأحرف الثلاثة ياء مشددة "
فِعْلَل,فَعَالِل,جموع الكثرة القياسية ,U+0641,b'\xd9\x81',8,َ,وزن من أوزان جمع التكسير
مَفْعَل,مَفَاعِل,جموع الكثرة القياسية ,U+0645,b'\xd9\x85',8,َ,وزن من أوزان جمع التكسير
مَفْعَلَة,مَفَاعِل,جموع الكثرة القياسية ,U+0645,b'\xd9\x85',8,َ,وزن من أوزان جمع التكسير
مِفْعَال,مَفَاعِيل,جموع الكثرة القياسية ,U+0645,b'\xd9\x85',9,َ,وزن من أوزان جمع التكسير
,,,,,0,,وزن من أوزان جمع التكسير
"اسكندر،أحمدكيف تتقن الصرف؟ 2023م،دار اللؤلؤة،ط1 ص 242",,,,,,,
