ser,الوزن,CV,مثال
98,مُفَاعَل,CVCVVCVC,مُسافَر
99,مُفَاعَلَة,CVCVVCVCVC,مُقَاتَلَة
100,مُفَاعِل,CVCVVCVC,مُكافِح
101,مُفَعَّل,CVCVCCVC,مُعَلَّم
102,مُفَعِّل,CVCVCCVC,مُعَلِّم
103,مُفَعْلَل,CVCVCCVC,مُدَحْرَج
104,مُفَعْلِل,CVCVCCVC,مُدَحْرِج
105,مِفْعَال,CVCCVVC,مِقْوَاد
106,مِفْعَل,CVCCVC,مِشْرَط
107,مِفْعِل,CVCCVC,مِسْكِع
108,يَتَفَاعَلُ,CVCVCVVCVCV,يَتَرَاجَعُ
109,يَتَفَاعَلّ,CVCVCVVCVCCV,يَتَحَاجُّونَ
110,يَتَفَعَّلُ,CVCVCVCCVCV,يَتَفَجَّرُ
111,يَتَفَعَّلْ,CVCVCVCCVC,يَتَرَبَّصُ
112,يَسْتَفْعِلُ,CVCCVCCVCV,يَسْتَهْزِئُ
113,يَفْعَلُ,CVCCVCV,يَخْدَعُ
114,يَفْعُلُ,CVCCVCCV,يَرْجُو
115,يَفْعِلُ,CVCCVCV,يَكْذِبُ
116,يُفَاعِلُ,CVCVVCVCV,يُخَادِعُ
117,يُفَعِّلُ,CVCVCCVCV,نُسَبِّحُ
118,يُفْعِلُ,CVCCVCV,يُخَرِج
119,يُفْعِلُّ,CVCCVCCV,يُؤْمِنَّ
120,فَاعِلُون,CVVCVCVVC,كَاتِبُون
121,فَاعِلَات,CVVCVCVVC,كَاتِبَات
120,فَاعِلُون,CVVCVCVVC,كَاتِبُون
121,فَاعِلَات,CVVCVCVVC,كَاتِبَات
122,افْعَلَّ,CVCCVCCV,احْمَرَّ
